participantId,teamId,championId,spell1Id,spell2Id,stats.participantId,stats.win,stats.item0,stats.item1,stats.item2,stats.item3,stats.item4,stats.item5,stats.item6,stats.kills,stats.deaths,stats.assists,stats.largestKillingSpree,stats.largestMultiKill,stats.killingSprees,stats.longestTimeSpentLiving,stats.doubleKills,stats.tripleKills,stats.quadraKills,stats.pentaKills,stats.unrealKills,stats.totalDamageDealt,stats.magicDamageDealt,stats.physicalDamageDealt,stats.trueDamageDealt,stats.largestCriticalStrike,stats.totalDamageDealtToChampions,stats.magicDamageDealtToChampions,stats.physicalDamageDealtToChampions,stats.trueDamageDealtToChampions,stats.totalHeal,stats.totalUnitsHealed,stats.damageSelfMitigated,stats.damageDealtToObjectives,stats.damageDealtToTurrets,stats.visionScore,stats.timeCCingOthers,stats.totalDamageTaken,stats.magicalDamageTaken,stats.physicalDamageTaken,stats.trueDamageTaken,stats.goldEarned,stats.goldSpent,stats.turretKills,stats.inhibitorKills,stats.totalMinionsKilled,stats.neutralMinionsKilled,stats.totalTimeCrowdControlDealt,stats.champLevel,stats.visionWardsBoughtInGame,stats.sightWardsBoughtInGame,stats.firstBloodKill,stats.firstBloodAssist,stats.firstTowerKill,stats.firstTowerAssist,stats.firstInhibitorKill,stats.firstInhibitorAssist,stats.combatPlayerScore,stats.objectivePlayerScore,stats.totalPlayerScore,stats.totalScoreRank,stats.playerScore0,stats.playerScore1,stats.playerScore2,stats.playerScore3,stats.playerScore4,stats.playerScore5,stats.playerScore6,stats.playerScore7,stats.playerScore8,stats.playerScore9,stats.perk0,stats.perk0Var1,stats.perk0Var2,stats.perk0Var3,stats.perk1,stats.perk1Var1,stats.perk1Var2,stats.perk1Var3,stats.perk2,stats.perk2Var1,stats.perk2Var2,stats.perk2Var3,stats.perk3,stats.perk3Var1,stats.perk3Var2,stats.perk3Var3,stats.perk4,stats.perk4Var1,stats.perk4Var2,stats.perk4Var3,stats.perk5,stats.perk5Var1,stats.perk5Var2,stats.perk5Var3,stats.perkPrimaryStyle,stats.perkSubStyle,stats.statPerk0,stats.statPerk1,stats.statPerk2,timeline.participantId,timeline.role,timeline.lane,subType,gameLength,timeline.creepsPerMinDeltas.10-20,timeline.creepsPerMinDeltas.0-10,timeline.xpPerMinDeltas.10-20,timeline.xpPerMinDeltas.0-10,timeline.goldPerMinDeltas.10-20,timeline.goldPerMinDeltas.0-10,timeline.damageTakenPerMinDeltas.10-20,timeline.damageTakenPerMinDeltas.0-10,timeline.csDiffPerMinDeltas.10-20,timeline.csDiffPerMinDeltas.0-10,timeline.xpDiffPerMinDeltas.10-20,timeline.xpDiffPerMinDeltas.0-10,timeline.damageTakenDiffPerMinDeltas.10-20,timeline.damageTakenDiffPerMinDeltas.0-10,stats.neutralMinionsKilledTeamJungle,stats.neutralMinionsKilledEnemyJungle,stats.wardsPlaced,stats.wardsKilled,timeline.creepsPerMinDeltas.30-end,timeline.creepsPerMinDeltas.20-30,timeline.xpPerMinDeltas.30-end,timeline.xpPerMinDeltas.20-30,timeline.goldPerMinDeltas.30-end,timeline.goldPerMinDeltas.20-30,timeline.csDiffPerMinDeltas.30-end,timeline.csDiffPerMinDeltas.20-30,timeline.xpDiffPerMinDeltas.30-end,timeline.xpDiffPerMinDeltas.20-30,timeline.damageTakenPerMinDeltas.30-end,timeline.damageTakenPerMinDeltas.20-30,timeline.damageTakenDiffPerMinDeltas.30-end,timeline.damageTakenDiffPerMinDeltas.20-30,highestAchievedSeasonTier
6,200,429,32,4,6,False,6691,3006,3134,0,1037,0,2052,6,5,1,3,2,2,210,1,0,0,0,0,22353,1259,21069,25,0,6889,490,6399,0,1091,1,2992,458,458,0,4,7805,2073,5731,0,7296,6275,0,0,31,0,41,11,0,0,False,False,False,False,,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8128,321,9,0,8143,215,0,0,8138,8,0,0,8135,604,4,0,9104,0,0,0,8009,497,0,0,8100,8000,5008,5008,5002,6,DUO,NONE,450,649,,2.5,,600.5,,542.5999999999999,,620.8,,0.12,,-154.2600000000001,,200.77999999999986,,,,,,,,,,,,,,,,,,,
5,100,412,14,4,5,True,3117,3190,1028,3857,3024,0,3364,1,3,8,0,1,0,656,0,0,0,0,0,13524,5680,3661,4182,0,3459,2730,359,370,938,5,11023,824,295,36,21,10165,1158,8880,126,5899,5525,1,0,26,0,47,11,3,0,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8465,1450,0,0,8463,479,0,0,8473,366,0,0,8451,137,0,0,8306,1,0,0,8347,0,0,0,8400,8300,5008,5002,5002,5,DUO_SUPPORT,BOTTOM,420,1402,1.1,1.4,392.6,268.8,319.20000000000005,159.4,734.3,200.0,0.9499999999999997,-0.1499999999999999,83.95000000000005,-16.0,-114.70000000000005,17.85000000000001,0.0,0.0,13.0,3.0,,,,,,,,,,,,,,,
1,100,163,14,4,1,True,3157,6656,2055,3853,3020,3916,3364,4,6,8,2,1,1,553,0,0,0,0,0,63827,59723,3032,1071,0,15597,13612,914,1071,1800,1,3796,4529,2016,53,17,11578,4428,6596,553,9699,8500,0,0,32,12,204,12,4,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8112,1052,0,0,8126,455,0,0,8138,30,0,0,8135,1136,5,0,8226,250,433,0,8237,498,0,0,8100,8200,5008,5008,5002,1,DUO_SUPPORT,MIDDLE,420,1712,0.5,0.8999999999999999,268.4,231.1,327.1,286.5,436.70000000000005,291.8,,,,,,,5.0,4.0,19.0,5.0,,,,,,,,,,,,,,,
3,100,50,14,4,3,True,3157,6653,0,3853,0,3020,3364,4,4,6,3,1,1,625,0,0,0,0,0,37265,23394,4357,9513,0,7880,6512,771,596,1567,1,2938,6051,2787,39,16,8408,3367,4846,193,7759,7525,1,0,24,0,74,10,5,0,False,False,False,True,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,547,0,0,8126,222,0,0,8138,30,0,0,8106,4,0,0,8313,0,0,0,8347,0,0,0,8100,8300,5008,5008,5002,3,DUO_SUPPORT,MIDDLE,420,1322,1.7,0.7,401.9,193.8,416.4,252.2,535.3,263.6,,,,,,,0.0,0.0,18.0,2.0,,,,,,,,,,,,,,,
5,100,103,32,4,5,False,3020,6656,4629,3165,1058,0,2052,8,5,12,4,1,2,336,0,0,0,0,0,42321,25630,3578,13111,0,18237,12440,583,5213,2419,1,4490,0,0,0,26,14821,7481,6846,492,11866,11150,0,0,36,0,63,15,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8128,999,18,0,8143,349,0,0,8138,30,0,0,8106,5,0,0,8210,10,0,0,8236,24,0,0,8100,8200,5008,5008,5002,5,DUO_SUPPORT,NONE,450,980,,2.0,,775.4,,655.1,,522.2,,0.0,,-43.180000000000064,,86.78000000000003,,,,,,,,,,,,,,,,,,,
8,200,164,12,4,8,False,6632,3074,1054,3047,3133,1037,3363,7,6,2,3,1,2,629,0,0,0,0,0,87518,1103,74820,11594,0,12254,1103,9409,1740,4135,1,24210,2057,2057,18,18,26755,4882,21068,805,10317,9950,0,0,149,0,227,15,1,0,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8437,672,489,0,8401,370,0,0,8473,882,0,0,8451,181,0,0,8304,11,1,5,8345,3,0,0,8400,8300,5005,5008,5002,8,SOLO,TOP,420,1772,5.3,5.6,488.6,408.9,313.3,214.0,761.0,343.1,-1.7999999999999998,-1.1999999999999997,-124.10000000000005,-31.0,7.5,127.19999999999999,0.0,0.0,8.0,4.0,,,,,,,,,,,,,,,
1,100,62,32,4,1,True,6632,3074,3053,3047,3071,1036,2052,6,9,21,0,1,0,351,0,0,0,0,0,49567,8468,40024,1075,0,23721,4560,18085,1075,11122,1,31701,2000,2000,0,16,37102,20205,14032,2864,15188,14250,0,0,33,0,23,18,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,1,0,0,2,0,1,8010,728,0,0,9111,1199,270,0,9105,6,10,0,8014,562,0,0,8106,5,0,0,8143,621,0,0,8000,8100,5008,5008,5003,1,DUO_SUPPORT,TOP,450,1452,1.6,1.2999999999999998,986.3,786.3,587.0,548.7,1749.8,702.2,,,,,,,,,,,,,,,,,,,,,,,,,
9,200,55,32,4,9,False,3020,3152,3115,3135,1058,0,2052,13,11,13,4,2,2,110,2,0,0,0,0,46165,42942,2928,295,0,20451,19427,838,185,2144,1,13221,456,456,0,0,20981,6947,13676,356,12073,11300,0,0,26,0,0,15,0,0,True,False,False,True,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8128,1998,24,0,8143,742,0,0,8138,30,0,0,8135,1266,5,0,8210,8,0,0,8237,285,0,0,8100,8200,5008,5008,5003,9,DUO_SUPPORT,NONE,450,976,,1.0,,708.7,,547.8,,959.9,,0.14000000000000012,,15.89999999999992,,-67.99999999999977,,,,,,,,,,,,,,,,,,,
4,100,22,7,4,4,False,1054,3091,3006,1053,6670,1018,3363,0,4,6,0,0,0,1001,0,0,0,0,0,84175,11147,71348,1680,204,10604,2700,7904,0,975,3,7424,1052,581,15,31,12337,5016,6989,330,7722,7200,0,0,172,0,577,12,0,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8008,1,30,0,8009,785,0,0,9103,0,0,0,8014,160,0,0,8410,80,0,0,8304,11,1,5,8000,8300,5005,5008,5003,4,DUO_CARRY,BOTTOM,420,1504,8.2,7.1,420.0,304.1,334.3,261.6,421.9,155.9,0.20000000000000018,-0.44999999999999996,-34.69999999999999,-16.60000000000001,184.09999999999997,39.5,0.0,0.0,7.0,3.0,,,,,,,,,,,,,,,
5,100,429,21,4,5,False,1055,3006,6673,1018,1042,0,3363,0,7,1,0,0,0,249,0,0,0,0,0,61620,0,55920,5700,260,6854,0,6854,0,1239,1,7567,10787,1284,6,7,11798,1744,9959,94,6040,5975,0,0,107,6,126,10,1,0,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9923,46,85,0,8139,345,0,0,8138,1,0,0,8135,267,1,0,9104,0,0,0,9101,1404,1372,0,8100,8000,5005,5008,5002,5,DUO_SUPPORT,NONE,420,1164,,5.4,,363.3,,230.3,,403.1,,-0.6999999999999997,,-52.119999999999976,,112.11999999999998,2.0,0.0,4.0,1.0,,,,,,,,,,,,,,,
